generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,0.8491720200001867,0.15082797999981284,0.9936866856047007,0.24019091753789795,0.9936866856047007,0.24019091753789795,StrategyMutateNonTerminal,StrategyReplaceBranch,1,1,(((x)*(6))+(x)),(((3)-(0))*((4)-((x)+((0)+(0))))),5*x*x*x,1
2,0.9314709420704764,0.06852905792952341,0.999944338760344,0.12499534703592956,0.999944338760344,0.12499534703592956,StrategyReplaceBranch,StrategyMutateTerminal,2,2,((9)*(7)),((((x)-(4))*(8))+(((x)*(7))*((5)-(7)))),5*x*x*x,1
3,0.9733274898362609,0.026672510163739095,0.9997953171244158,0.06580642486933601,0.9997953171244158,0.06580642486933601,StrategyAddTreeWithAdd,StrategyReplaceBranchX,3,3,(((x)+(4))*(4)),((((x)*(6))-(((x)-(2))*(3)))+((4)+((x)*(1)))),5*x*x*x,1
4,0.9784547319889696,0.021545268011030565,0.999398379727253,0.06774156146715211,0.999398379727253,0.06774156146715211,StrategyReplaceBranch,StrategyAddRandomSubTree,4,4,((((x)+(2))*(0))*((0)*(8))),(((x)+((x)*(9)))+((x)-(6))),5*x*x*x,1
5,0.9733303762365065,0.026669623763493494,0.9978229575474924,0.09417327049194586,0.9978229575474924,0.09417327049194586,StrategyReplaceBranch,StrategyAddRandomSubTreeX,5,5,((8)+(2)),((((x)*(1))+(4))+(((x)+(1))*(0))),5*x*x*x,1
6,0.9622911646670345,0.03770883533296569,0.9897881502346378,0.1186112860584367,0.9897881502346378,0.1186112860584367,StrategyReplaceBranch,StrategyReplaceBranchX,6,6,((6)*((1)+(8))),(((x)-((x)*((x)+(4))))*((x)*(8))),5*x*x*x,1
7,0.954265284494207,0.04573471550579314,0.9857680792670758,0.10900035336480732,0.9857680792670758,0.10900035336480732,StrategyMutateNonTerminal,StrategyReplaceBranchX,7,7,(((7)+((4)+(7)))+((7)-(7))),((x)+(((x)*(6))*((x)*(2)))),5*x*x*x,1
8,0.9459135130828344,0.05408648691716575,0.9799406923864125,0.11854615944676955,0.9799406923864125,0.11854615944676955,StrategyAddTreeWithAdd,StrategyAddAddX,8,8,(((x)-(0))*(((9)+(2))-(x))),((x)*((((x)+(5))*(3))*(0))),5*x*x*x,1
9,0.9344725510023538,0.06552744899764613,0.9716390543902079,0.11258340860972928,0.9716390543902079,0.11258340860972928,StrategyMutateNonTerminal,StrategyAddMultX,9,9,((((7)*(0))+(x))*(((2)+(5))+(7))),(((5)*((9)+((x)*((x)+(x)))))*((x)+((x)*(9)))),5*x*x*x,1
10,0.9297129178937038,0.07028708210629576,0.9718862117859477,0.1474974714567378,0.9718862117859477,0.1474974714567378,StrategySkip,StrategyReplaceBranchX,10,10,(((4)+(1))*(((x)-(7))*(9))),((((x)*(x))*((x)-(4)))*(8)),5*x*x*x,1
11,0.9325313381003378,0.06746866189966222,0.9695188043843322,0.12630611716379347,0.9695188043843322,0.12630611716379347,StrategyAddTreeWithSub,StrategyAddMultX,11,11,(((4)*(3))-(6)),((((x)*((x)+(4)))*(1))-(3)),5*x*x*x,1
12,0.9317673304246124,0.06823266957538777,0.973771790407109,0.11607270971783498,0.973771790407109,0.11607270971783498,StrategyMutateNonTerminal,StrategyAddAddX,12,12,((((7)-(1))+((7)+(4)))+((x)+(1))),(((x)+(4))*(((x)*(2))*(6))),5*x*x*x,1
