generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.955266550799099,0.1697332489247935,-0.6489976996254615,0.4071912607439193,StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyMultXD|StrategySubXD|StrategySkipD|StrategySkipD|StrategySkipD,StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySkipD,StrategySkipD,StrategySkipD,0,0,218801.4,218801.4,((((((5)*(x))*((x)*((9)-((3)*(x)))))*(x))*(x))-(x)),((((((x)-((0)/(7)))+((6)*((x)+(5))))-(((8)*((4)+(((6)+(6))*(1))))/((7)/((9)/((x)-(x))))))/(x))+(x)),5*x*x*x,10
2,-0.9286684319622014,0.1746982432310983,-0.5280639052348477,0.36386383491156243,StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyDivXD|StrategyMultXD|StrategyMultXD|StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategySubXD|StrategyDivXD|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithAdd,StrategyDivXD,1,1,71247,71247,((((((((9)+(6))*((5)+(4)))*((x)*((9)+(5))))/(x))*(x))*(x))-(x)),(((((((((6)*((x)*(x)))-((x)*((((7)-(9))+(8))-(x))))*(((1)-(x))*((x)/((x)-(x)))))/(x))+(7))-(x))/(x))/(x)),5*x*x*x,10
3,-0.9009288774989569,0.1506969721511736,-0.451156475885537,0.2983176193224812,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategySkipD|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategySubXD|StrategyAddXD,StrategyAddTreeWithMult,StrategyDivXD,2,2,454470.5,454470.5,((((((((5)*(x))*((((1)*(x))*(4))*((x)*(9))))*(x))-(x))*(x))/(x))-(x)),(((((((4)+(x))+((3)+(2)))*((x)/((x)-(x))))/(x))-(x))+(x)),5*x*x*x,10
4,-0.8910986928786739,0.2014810408775179,-0.45998404949043836,0.337084577327652,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,2,3,1661676.5,1661676.5,((((((((5)*(((4)*(5))*(9)))*((x)*(x)))*((8)*(6)))-(x))*(x))/(x))-(x)),((((((((x)*((8)+(x)))/(((0)+(9))*(3)))*((7)/((x)-(x))))-((6)/((9)-(9))))*(x))+(x))-(x)),5*x*x*x,10
5,-0.8947413941195821,0.17687010981209894,-0.41969288133073057,0.328775482093664,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyDivXD|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategyAddXD|StrategyAddXD|StrategyAddXD|StrategyAddTreeWithDiv|StrategyDivXD|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyMultXD|StrategySubXD|StrategyMultXD,StrategySubXD,StrategyAddXD,4,3,568716.5,568716.5,((((((((5)*(8))*((x)*((8)*(3))))*(((3)*(9))*(4)))-(x))*(x))/(x))-(x)),(((((x)*(5))*(x))-(x))*(x)),5*x*x*x,10
6,-0.8438060559153975,0.16020607739173004,-0.39120817035816946,0.39298868848229207,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyDivXD|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateNonTerminalR,4,5,2666416.5,2666416.5,((((((((5)*((6)*(2)))*(((7)*(x))*(x)))*(x))-(x))*((7)*(6)))/(2))-(x)),((((((((4)*(x))+(x))*((8)*((x)-(2))))/(((4)-(4))/((1)/(((0)+(1))+(0)))))*(x))+(x))+(x)),5*x*x*x,10
7,-0.8165093812687216,0.13673111924848408,0.24065018482375974,0.4372847942416258,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySkipD,StrategyAddXD|StrategyAddXD|StrategyAddXD|StrategyAddTreeWithDiv|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,6,6,20195115.6,20195115.6,(((((((((6)*(8))*((4)+(9)))*((x)*(x)))*((x)*(8)))*((x)+(5)))*(x))/(x))-(x)),((((((((((6)+((3)/(0)))-((9)*(9)))*(x))+(x))+((5)-(x)))*(x))+(x))+(x))*(x)),5*x*x*x,10
8,-0.8658974998268691,0.15672283856127397,-0.16778345237328857,0.32645660408193483,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySkipD,StrategySkipD|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchR,StrategyMultXD,StrategyMutateNonTerminalR,6,6,4254426,4254426,(((((((((3)*(x))*(x))*(((8)*(1))*(((9)*(7))+(7))))*(x))*(x))*(x))/(x))-(x)),((((((5)*((x)*(2)))*((((6)-(0))*(0))*((x)*((7)-(3)))))*(((0)+((4)*(4)))*((x)-((x)/((x)-(x))))))-(x))*(x)),5*x*x*x,10
9,-0.8337779708957559,0.18180417634255588,0.0892990876099977,0.41755347159126976,StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateNonTerminalR,8,8,4838487.5,4838487.5,(((((((5)*((x)*(8)))*((x)*((0)+(5))))*(x))*(((x)*(x))+(7)))/(x))*(x)),((((1)+(((0)+((2)-(9)))*(0)))/(0))+(x)),5*x*x*x,10
10,-0.865409534527158,0.1778161885668265,-0.5457733701189749,0.3249876295429269,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategyMutateTerminalR,StrategyAddTreeWithMult,StrategyMutateNonTerminalR,9,9,12543762,12543762,(((((((6)*((8)+(1)))*(((8)*(2))*(x)))*(x))*(x))/((1)/((6)*(8))))-(x)),((((((1)-((9)*(x)))+((x)*((5)-(2))))*((((7)-(5))*(x))/(((8)*((8)/(x)))*(0))))/(x))-(x)),5*x*x*x,10
11,-0.8798345249915565,0.18193122379750204,-0.5587197363400362,0.2856828665390652,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyAddTreeWithSub,10,10,653284.5,653284.5,(((((((5)*((7)/(1)))*((9)*(x)))*((6)*(9)))-(x))-(((5)*(1))+(4)))*(x)),(((((((x)+(7))-(2))*((x)*(8)))+((x)*((7)/((1)-(1)))))-(x))-(9)),5*x*x*x,10
12,-0.8514753906765817,0.25621039246266963,-0.3320701581532358,0.4458523520722998,StrategyMultXD|StrategyAddRandomSubTreeR|StrategySubXD|StrategyMultXD|StrategyDivXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateTerminalR,11,11,22848914,22848914,(((((((((4)+(7))*(x))*((x)*(((3)*(x))*(7))))*(x))-(x))*(x))/(2))*(x)),(((((x)+(x))*((((0)+((1)-(3)))*((5)+(7)))/((0)*((x)-((x)-(x))))))/(6))+(x)),5*x*x*x,10
13,-0.9086329788653045,0.2104163309841871,-0.7474548654675123,0.37742448804717066,StrategyMultXD|StrategyDivXD|StrategyAddTreeWithDiv|StrategySkipD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,12,12,1737484.375,1737484.375,((((((5)*(x))*((x)*(((7)*(4))/(2))))*((9)*(x)))/((8)/(x)))*(x)),((((3)+(((2)-(((7)-(7))*(6)))-(1)))/(0))+(x)),5*x*x*x,10
14,-0.9098093849400295,0.20186453050814626,-0.7558078210395086,0.5155990198777682,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithDiv|StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyAddTreeWithSub,13,13,411383.50000000006,411383.50000000006,((((((((x)+(3))*(x))*(((5)/((9)/(6)))*(x)))*(x))*((9)*(4)))/(x))*(x)),(((((((0)/(((1)-(1))*(1)))*(((x)-(2))*(5)))*(((4)*(8))*((6)*(((0)/(5))/((4)-(x))))))+(x))/(x))+(x)),5*x*x*x,10
15,-0.8693973172223382,0.2127408019171347,-0.43129763259510606,0.40056109483683516,StrategyMultXD|StrategyMultXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategySubXD|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategyMutateTerminalR,StrategyMultXD,StrategyDivXD,14,14,4966973,4966973,((((((((5)*((x)/(1)))*(((9)/(1))*(x)))*((5)*(x)))*(x))-(x))-(x))*(x)),((((((((9)+((4)-(2)))/((1)*(0)))-(((5)-(7))*((4)*(x))))*(((x)*(x))/((x)-(3))))/(1))/(x))-(x)),5*x*x*x,10
16,-0.8539284681192358,0.20164106237746945,-0.33738606604908805,0.2802356060111256,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateTerminalR,15,15,528418,528418,((((((((8)/(1))*(x))*((x)*(x)))*((9)-(6)))*(x))-(9))*(x)),((((((5)*((2)/(0)))*(((6)-((3)*(3)))*(((1)-(9))*(7))))-(((0)*(8))-(((x)-(4))/((x)-((x)-(9))))))/(x))-(x)),5*x*x*x,10
17,-0.8198089993845172,0.2024281079843088,-0.03512123006321414,0.33894049477350474,StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategyMultXD,StrategyMutateTerminalR,16,16,9498324,9498324,((((((((5)*(5))*(x))*((5)*(x)))*((6)/(1)))*((x)*(5)))-(x))*(x)),((((((5)/(((0)*(8))*((5)-(1))))*(((7)+(6))*((8)-(8))))*(((x)*(x))+((5)-((x)*((6)*(9))))))/(x))+(6)),5*x*x*x,10
18,-0.8443514780614654,0.17813996528204706,-0.22289720869624233,0.33425993401371024,StrategyAddTreeWithAdd|StrategyMultXD|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategySubXD|StrategyMutateTerminalR,StrategySubXD,StrategyDivXD,17,17,372909.7777777778,372909.7777777778,(((((((((8)+(x))*(x))*((x)*(x)))*(x))-((2)/(9)))-(x))-(x))*(x)),(((((((6)+(((6)-(x))/((0)*(0))))*((x)*(4)))*(((x)-(8))/((6)-(((2)-(1))*(x)))))/(x))/(x))-(x)),5*x*x*x,10
19,-0.6804530143521752,0.14702667462786057,0.04763003895329228,0.261063661376269,StrategyAddTreeWithAdd|StrategyMultXD|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategySubXD|StrategyAddTreeWithMult|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddXD|StrategyReplaceBranchR,StrategySubXD,StrategyAddTreeWithSub,18,17,1825251.45,1825251.45,(((((((((6)+(x))*(x))*((x)*(x)))*((7)*(7)))-((x)/(2)))-((3)-(1)))-(x))*(x)),((((5)+(1))/(0))+(x)),5*x*x*x,10
20,-0.6696582128644852,0.18244201946867689,-0.32130294110512836,0.3768919258261813,StrategyAddTreeWithAdd|StrategyMultXD|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateTerminalR,StrategySubXD,StrategyReplaceBranchXR,19,19,175032,175032,(((((((((x)/(1))*(x))*(((1)+(7))*(x)))*(x))-(x))-(x))-(x))*(x)),(((((x)+((x)-(6)))/((0)*((6)-(9))))/(8))+(x)),5*x*x*x,10
21,-0.7101744956970832,0.2402353450664883,-0.14232258510359358,0.5175352005320631,StrategyAddTreeWithAdd|StrategyMultXD|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateTerminalR,StrategySubXD,StrategyMutateTerminalR,20,20,1827892,1827892,(((((((((6)+(6))*(x))*(((8)*(7))*(x)))*((9)/(1)))-(x))-(x))-(x))*(x)),((((((((9)-(x))/((0)*(5)))/((3)*((2)/(8))))*((((8)+(7))/(4))/((4)*((1)*(4)))))/(x))*(x))+(x)),5*x*x*x,10
22,-0.8278263031748665,0.2070517099344209,-0.2534626342861451,0.3286078279054253,StrategyAddTreeWithAdd|StrategyMultXD|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyReplaceBranchR,StrategySubXD,StrategyAddTreeWithSub,21,20,675972,675972,((((((((5)*(6))*((x)*(((5)/(3))+((x)*(x)))))*(x))-(x))-(x))-(x))*(x)),(((((((7)/((x)*(0)))*((1)-((x)*((4)-(7)))))-(((x)*(3))-((x)-((4)*(3)))))/((x)*(8)))/(x))+(x)),5*x*x*x,10
23,-0.8250176476700277,0.22918299908955175,-0.2510325169049856,0.41814582653997723,StrategyAddTreeWithAdd|StrategyMultXD|StrategySubXD|StrategySubXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMultXD|StrategySkipD,StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyDivXD|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddXD|StrategyReplaceBranchR,StrategySubXD,StrategyDivXD,21,22,328775.025,328775.025,(((((((((x)+(6))*(x))*((x)*(x)))*(x))-(x))-((7)/(4)))-((0)*(3)))*(x)),((((((5)*((x)+(8)))*((5)*(((8)*(7))*(x))))-(((3)/(0))+((4)-((x)*((4)-((1)*(2)))))))/(x))+(x)),5*x*x*x,10
