A,P,AFinal,PFinal,AGen,PGen,count,run
AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,DeleteTerminalR,0,0,0,0
SkipD,SubXD,SkipD,SubXD,0,0,1,0
MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,DeleteTerminalR,0,0,2,0
AddXD,ReplaceBranchXR,AddXD,ReplaceBranchXR,0,0,3,0
MutateNonTerminalR,AddXD,MutateNonTerminalR,AddXD,0,0,4,0
DeleteNonTerminalR,AddTreeWithSub,DeleteNonTerminalR,AddTreeWithSub,0,0,5,0
MutateTerminalR,DivXD,MutateTerminalR,DivXD,0,0,6,0
AddTreeWithSub,DivXD,AddTreeWithSub,DivXD,0,0,7,0
ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,AddTreeWithSub,0,0,8,0
MultXD,AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,9,0
MultXD,AddTreeWithDiv,MultXD,AddTreeWithDiv,0,0,10,0
AddToLeafR,SubXD,AddToLeafR,SubXD,0,0,11,0
FellTreeD,AddRandomSubTreeR,FellTreeD,AddRandomSubTreeR,0,0,12,0
MutateNonTerminalR,AddTreeWithAdd,MutateNonTerminalR,AddTreeWithAdd,0,0,13,0
AddXD,AddToLeafR,AddXD,AddToLeafR,0,0,14,0
