generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
14,-0.9515401089458372,0.18666788525580785,-0.8438166807616316,0.42650255537683457,StrategySkipD|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMultXD,StrategyMutateNonTerminalR,StrategyAddXD,13,13,218824.1,218824.1,(((((((7)*(x))+(1))+(x))*((x)*((x)*((x)+(2)))))*(x))+(x)),((((((((8)*(x))-(8))*((0)+(1)))+((x)/((9)+(2))))+((6)/(0)))+(x))*(x)),5*x*x*x,9
15,-0.9577198261374434,0.14804795001145316,-0.8715495470779346,0.3182869213934509,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyMultXD,StrategyAddTreeWithMult,StrategyAddXD,14,14,161847,161847,((((((5)*(6))*((9)*(5)))*(((x)+((8)+(x)))*(x)))+(x))+(((0)+(2))*(2))),(((((8)-(9))+(((5)/(0))+((4)*(5))))-(x))*(x)),5*x*x*x,9
16,-0.9607153084493814,0.1376979945064088,-0.8613215169364871,0.318645134907915,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyMultXD,StrategyAddXD,StrategyAddTreeWithAdd,15,15,346978.5,346978.5,((((((((7)+(2))*(8))*(x))*(((((1)*(9))+(7))*(x))*(x)))/(1))+(x))+(x)),(((((((x)+(9))+(8))+((x)/((9)+((x)*(((9)/(0))+(7))))))+((7)+(1)))-(x))*(x)),5*x*x*x,9
17,-0.966792269382266,0.12885314256432356,-0.8908757024793387,0.32071729081222455,StrategySkipD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddXD,16,16,41636.1,41636.1,((((((6)+(6))+(9))-((9)-(x)))*((x)*((x)*((x)*(7)))))+(x)),(((((((0)*(9))+((8)/((x)-(6))))+((4)+((3)+(7))))+((x)/(0)))-(x))/(x)),5*x*x*x,9
18,-0.9411818644907284,0.11946261489073698,-0.8178436329741403,0.2452738891330843,StrategyAddTreeWithMult|StrategyAddXD|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyMutateTerminalR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategySubXD|StrategyMutateTerminalR|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddXD,16,17,210848,210848,(((((((9)+(x))*((1)+(6)))*((((x)+(2))-(3))*(x)))+(x))*((6)*(9)))+(x)),(((((((5)+(1))*(((9)+(0))+((2)-(((2)/(0))+(x)))))+((8)+(0)))+(x))-(5))/(x)),5*x*x*x,9
19,-0.9469673305677627,0.10514018524131281,-0.8387941267155785,0.20495422610325087,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyMutateTerminalR|StrategyDivXD,StrategyDivXD,StrategyAddTreeWithAdd,18,18,268020.5,268020.5,((((((((x)*(9))*((3)*(3)))*((x)*((5)+(6))))/(x))*(x))*(x))+(x)),(((((((9)+(7))+((((x)+(4))+(4))*((x)*(x))))/(((3)-(1))/(((8)-(x))+(((6)+(7))+(x)))))+(x))-(x))/(x)),5*x*x*x,9
20,-0.9239771339087113,0.1014199054058694,-0.6867638569095298,0.21622177576954363,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithMult|StrategyAddXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,19,19,439510.5,439510.5,((((((((7)*(3))-(8))*(x))*((x)*(((x)+(8))*(5))))*((x)+(3)))+(x))+(x)),((((((((5)+(0))+(((1)+(4))*(1)))*(((2)+(x))*((4)*((1)+(0)))))*((((8)+((4)*(1)))/(0))+((4)/(((7)-(x))+((x)+(6))))))+(x))-(x))+(x)),5*x*x*x,9
21,-0.9465764430121426,0.10168411641774863,-0.7501893587691786,0.2379501837323789,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,20,20,1235113,1235113,(((((((x)*(4))*((x)+(0)))*(((9)+(5))*(x)))*(x))*(x))+(x)),((((((((2)+(6))+(((3)+(4))+(6)))-((x)*((x)*((4)+(7)))))/(((0)*(0))*((0)-(2))))+(x))-(x))/(x)),5*x*x*x,9
22,-0.9473861236373177,0.12070014674956861,-0.7370695469499093,0.21526062940980487,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,21,21,2759410.5,2759410.5,(((((((x)*(6))*(x))*(((9)+(7))*((x)+(4))))*((9)*(7)))+(x))+(x)),(((((((((x)-(x))+(1))*((x)+(6)))*((x)*(6)))/((5)*((6)*(0))))+((6)+(2)))-(x))/(x)),5*x*x*x,9
23,-0.9479883547712473,0.13173559399363968,-0.8333033255554352,0.22153495481990254,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,21,22,149968.5,149968.5,((((((5)*((x)*(((7)+(x))+(7))))*(((6)*(1))*(x)))*((3)*(2)))+(x))+(x)),(((((((7)*((5)+(9)))*((0)-(9)))*(((1)+(0))-((6)+((5)+(5)))))*((((3)-(3))/(0))+((3)*((2)+(x)))))+(x))-(x)),5*x*x*x,9
24,-0.9551156436091809,0.11983171068925211,-0.8351251004263796,0.21344617119461437,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddXD|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,23,23,84064.5,84064.5,(((((((9)*(8))+(5))*((3)*(2)))*(((5)+(5))*(((x)-(4))*(x))))+(x))+(x)),((((((8)*((x)+(4)))*((x)*((3)*(1))))-((((9)*(9))+((0)+(0)))*((3)+((6)-(6)))))+((0)*(9)))-(x)),5*x*x*x,9
25,-0.9662702385336466,0.1354575946165109,-0.9191567060915927,0.26543239632080357,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,24,23,72143.5,72143.5,(((((x)*(8))*(((((7)+(9))*(9))+((7)*(6)))*((6)+(3))))-(x))+(x)),(((((((3)+((1)*(x)))*((2)*((((8)+((6)+(1)))/(0))+(7))))+(((((5)-(3))-(8))-(3))/(((3)+(x))+((x)+(x)))))+(x))-(x))/(x)),5*x*x*x,9
26,-0.9386638193297803,0.13535182005823326,-0.8134300997624268,0.2672999068250887,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithDiv|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,24,25,119932.5,119932.5,(((((5)*(x))*(((8)+(8))*((x)+((x)+(9)))))*((2)*(6)))+((5)*(1))),(((((((x)+((7)/(6)))*((7)+(x)))*((x)+(((8)*(5))*((x)/(0)))))+(((4)-(6))+((8)+(4))))-(x))/(x)),5*x*x*x,9
27,-0.9448289899734261,0.147272167682654,-0.828281057423822,0.23427719284257073,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,26,26,107557,107557,((((((x)-((7)*(8)))*((5)*((7)*(4))))*((x)*((6)+(9))))/(x))+(x)),(((((x)+((6)+(6)))*(((x)/(((3)+(9))/(0)))+(((2)+(x))+(((6)+(1))+((1)*((x)-(9)))))))+(x))-((0)-(1))),5*x*x*x,9
28,-0.9265848639975267,0.1402862235204691,-0.7340107679240486,0.2818646427161949,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,27,26,244277,244277,((((((4)+((9)*((9)-(1))))*(x))*((((7)+(3))*(9))-(6)))*(x))+(x)),(((((x)*(9))*(((5)/((0)-(0)))+((((4)-(8))+(7))-(((0)/((x)+(4)))+((2)-(6))))))+((1)+(1)))/(x)),5*x*x*x,9
29,-0.9564878951144816,0.14722552729047417,-0.7718049992855944,0.26943886908875814,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyDivXD|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddXD,StrategyAddTreeWithAdd,27,26,684530,684530,((((((((6)*(6))*(x))*((((9)*(6))+((1)+(8)))*(x)))-(x))*(x))+(x))+(x)),(((((((3)/(0))+((4)-(1)))*(((4)+(2))*(((1)+(x))*(8))))*((((3)+(3))/((0)-(3)))+(((5)-(9))/((x)-((x)+(8))))))+((5)-(0)))/(x)),5*x*x*x,9
30,-0.9542939775165221,0.15702711750130202,-0.8738496000999769,0.24647299492349392,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,29,29,150947.5,150947.5,(((((((4)*(5))+((x)*(5)))*((9)*(4)))*((x)*(x)))/(x))*((9)+(5))),((((((0)+((5)+(9)))/((4)*(0)))+((1)+((5)-(4))))-(x))/(x)),5*x*x*x,9
31,-0.9419395813904765,0.13940614533136092,-0.7353627643193772,0.2042012477887279,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,30,29,238738.5,238738.5,((((((x)+(6))*((8)+((2)+(6))))*(((7)*(6))*((x)*(5))))+(x))+(x)),(((((((x)+(0))/((3)*((0)-(x))))+((x)/(((9)+(1))-((1)+(9)))))+((1)-(5)))-((1)+(9)))/(x)),5*x*x*x,9
32,-0.9659079799979169,0.1497733723465971,-0.8766849573266031,0.2521028425664332,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,31,31,179993,179993,(((((((5)*((x)*(6)))*((((5)*(1))*(4))*(x)))*(x))*(x))/(x))+(x)),((((x)-(2))+(((1)+((1)+(9)))/((((3)-(4))-(x))+((1)+(x)))))/(x)),5*x*x*x,9
33,-0.9281418842071911,0.11485736108238609,-0.8182193093214659,0.19755595782065222,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,32,32,1958687.5,1958687.5,(((((5)*(x))*((((3)*(3))*(4))*(((6)*(2))*(3))))*(x))*(x)),((((((((2)+((7)-(6)))*(2))*((((6)+(2))+(2))-((3)-(6))))/(((5)+(5))*(0)))+(x))-(x))/(x)),5*x*x*x,9
