gen,avgA,avgP,topA,topP,topABest,topPBest,topASD,topPSD,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topABestDelta,topPBestDelta,topAEquation,topPEquation,spec,run
1,0.43902961912671423,0.21774228258220416,0.9709389017402551,0.24977005258163376,0,0,0.03724751878893404,0,MultXD,MultXD,SkipD|SkipD|ReplaceBranchXR|MultXD|MultXD|SkipD|DivXD|MultXD|MultXD|MultXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|DivXD|AddXD|SkipD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddXD|MutateTerminalR|ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|ReplaceBranchXR,0,0,421312769.5,1329.5,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),(((((((7)-(8))*(8))/(x))+(((x)*(4))+(9)))*(x))+(x)),5*x*x*x+2*x+7,4
22,-0.5826596357652403,0.13826922144225212,-0.18993132641450522,0.16446033820257927,0,0,0.001976560779487075,0,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,20,21,137661,1531.985238095238,((((((5)*((x)*(5)))*((x)*((((0)-(4))+(3))-(((8)+(7))+(2)))))+((2)*((8)-((4)+(4)))))*(x))-(x)),(((((6)/(2))-((x)-((3)+(6))))/(x))-((2)+(2))),5*x*x*x+2*x+7,4
23,-0.9806595066971578,0.5819070245353228,-0.9767224763149298,0.5819138799924031,0,0,0.591263061154689,0,AddTreeWithAdd,SkipD,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,22,19,1525,0,(((x)*(2))-(x)),(((((3)*((1)/(0)))*((7)-(5)))/((8)+((9)+(1))))-(x)),5*x*x*x+2*x+7,4
24,-0.4050081217843938,-0.08254404830069745,0.1027655270943943,0.16435750007761057,0,0,0.0005705945597556178,0,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,23,19,379845,1534,(((((((4)*((9)+((9)+(3))))*(x))*((((6)+(3))+(6))*(x)))+((2)*((x)+((x)*(2)))))*(x))-(x)),(((((x)-(((0)+(0))/((7)+(5))))*(2))/(x))-(x)),5*x*x*x+2*x+7,4
25,-0.7922758085592942,-0.08134466142335706,-0.6165591310029401,0.16378993127191466,0,0,0.0011736468338446545,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,24,19,26803.5,1534.2592295760896,((((((5)*(x))*(((0)+((x)*(7)))*((8)+(((9)+(1))+(3)))))+((2)*(((5)+((7)+(2)))+(7))))*(1))-(x)),(((((2)+((x)+(7)))-((7)-((1)/(x))))/(x))-(x)),5*x*x*x+2*x+7,4
26,-0.9312381574648807,0.16630160225810248,-0.902046716759229,0.16932989626372325,0,0,0.0076298789253693225,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,25,24,10698.4,1515.7,((((((((1)*(3))+(x))*(4))*((((x)-(6))+((5)+(0)))*(x)))+((2)*(((4)+(0))+((2)+(x)))))*(x))-(x)),(((((((5)+((2)+(3)))*((9)/(6)))+(((5)-(6))*((x)*((4)-(5)))))*(x))/(x))-(x)),5*x*x*x+2*x+7,4
27,-0.6418837798105195,0.0175568331083579,-0.5957611891538712,0.16678454262932407,0,0,0.0035785151338971017,0,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,23,25,25777,1525.6361904761902,(((((((5)+((8)+(5)))*(x))*((x)*(5)))+((2)*((x)+((1)+(0)))))*(x))-(x)),(((((((8)*(3))+((0)+((x)/(8))))+(((x)+((1)-((9)+(0))))*((x)*(5))))*((1)-((2)+(7))))/(x))-(x)),5*x*x*x+2*x+7,4
28,-0.5690115964969982,0.16166578873925327,-0.1519859502628626,0.16618258332771563,0,0,0.0010696058158728078,0,AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,26,27,194704,1530,(((((((3)+((1)+(5)))*((8)*(x)))*((x)*((7)+(2))))+((2)*((((x)*(3))+((0)+(6)))+((2)-(9)))))*(x))-(x)),((((((x)*((4)-(3)))+((8)*((0)/((9)+(0)))))*((1)+(5)))/(x))-(x)),5*x*x*x+2*x+7,4
29,-0.9127384841555047,0.19297107927103613,-0.8546716759229009,0.22360490643799474,0,0,0.09265403405347504,0,AddTreeWithAdd,SkipD,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,28,28,16267.5,1305.6,((((((5)*(((7)*(((4)*(2))+(4)))+(1)))*((((4)+(3))-(6))*(x)))+(((1)+((8)+(x)))*((x)+(9))))*(x))-(x)),((((((((x)-(7))*((x)*(2)))+((((1)+(4))+(1))*(((1)-((3)-(2)))+(((5)+(6))-(6)))))*(((x)+((x)-(x)))+(((0)/(5))*(0))))*(x))/(x))-(x)),5*x*x*x+2*x+7,4
30,-0.5484404606337798,0.3982833948525052,-0.4896439072198628,0.5811353017739819,0,0,0.5923641370305485,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,26,29,49119,0,((((((((3)*(3))+(4))*(((6)+(5))+(1)))*((x)*(x)))+(((((2)+(9))+(4))*(2))*((x)*(3))))*(x))-(x)),(((((((((9)+(x))+(2))+((1)*(x)))*((((x)/(0))*(8))*((0)+(5))))+((((3)-(x))+((x)+(3)))+((((x)+(8))+(6))+((4)+(8)))))*(x))/(x))-(x)),5*x*x*x+2*x+7,4
31,-0.5812180300787413,0.25668786338570176,-0.17702442997126894,0.3462325714585324,0,0,0.2914329671546116,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,26,29,162008.7,822.2333333333332,((((((x)*(x))*(((9)+(8))*(((x)-(1))+((x)+((8)*(2))))))+((2)*(((2)*((1)+(8)))+(7))))*(x))-(x)),(((((((2)+(4))-(5))*(((2)+(((9)-((0)/(7)))*(9)))*(((1)+(8))+((5)-(0)))))*(x))/((1)+(5)))-(x)),5*x*x*x+2*x+7,4
32,-0.9137598007187193,0.16719611640228732,-0.8521153217902646,0.17165193413051938,0,0,0.00846796625301194,0,AddTreeWithAdd,SkipD,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,26,30,16628,1510.3469444444443,((((((5)*((8)+(2)))*((x)-((1)+(((x)*(8))+(6)))))+((2)*(((4)*(5))+(((6)+(0))+(2)))))*(x))-(x)),(((((((((3)/(1))+(0))+((2)*((x)+(1))))-((((0)+(2))-(3))*((x)+(5))))+((1)*(1)))*((9)-(2)))/(x))-(x)),5*x*x*x+2*x+7,4
33,-0.9754671675922901,-0.08683534192965942,-0.9743180333224437,0.16665091010995114,0,0,0.0031044908137046307,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,32,32,1621,1526.4972222222223,((((((9)-(8))*(((4)+(6))*((8)*(5))))+((((x)-(4))+(3))*(((6)+(9))+((5)+(9)))))*(x))-(x)),((((((4)+(0))+(6))*((8)-((x)/(x))))/(x))-(x)),5*x*x*x+2*x+7,4
34,-0.9658061091146684,0.16158183965477332,-0.9517722966350866,0.17151855866736626,0,0,0.011843389320384359,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,33,33,4952,1506.2083333333333,(((((((2)+((9)+(x)))*(x))*((0)+((x)+(9))))+((6)-(1)))*((2)+(2)))-(x)),((((((x)*((2)/(4)))+(((9)+((5)+(6)))-((1)*(((5)-(5))-(9)))))*(x))/((5)+(1)))-(x)),5*x*x*x+2*x+7,4
35,-0.5182339375395374,0.18225763639333545,-0.05464820830351119,0.19900563541326355,0,0,0.06830533693632707,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,33,34,460167,1382.4,(((((((6)*((0)+((0)+(9))))*(x))*(((3)+((3)+(8)))*((6)+((x)+(2)))))+((2)*((x)+((9)-(1)))))*(x))-(x)),(((((((5)*(((5)+(4))*((5)+(6))))+(((2)*(7))+((4)+(1))))*(((0)*((2)/(1)))+((7)+((1)-(5)))))*(x))/(x))-(x)),5*x*x*x+2*x+7,4
36,-0.11831021056048174,0.37857373709334363,0.5092224406889025,0.5862372499909253,0,0,0.585148892667622,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,34,30,254304,0,((((((5)*(((x)*(9))+(x)))*(((0)-(5))*((((9)+(4))+(7))+(3))))+((2)*((x)+((6)+((2)+(1))))))*(8))-(x)),((((7)+(((6)/(0))-((3)+(0))))/(x))-((x)+(9))),5*x*x*x+2*x+7,4
37,-0.5141534629206141,0.16518680184180584,-0.46088614831754326,0.16826957716611146,0,0,0.007966808127043371,0,AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,35,30,41530.1,1517.2098214285713,((((((((1)+(0))+((8)*(2)))*(x))*((x)*(x)))+((6)-(((x)-(x))+(6))))*(x))-(x)),((((((6)-((((5)+(9))/(4))-(5)))+((x)*((4)-(3))))*((3)+(x)))/(x))-(x)),5*x*x*x+2*x+7,4
38,-0.7328773276706959,0.39151695182955387,-0.4907669062397909,0.5814692024946027,0,0,0.5918919301029604,0,AddTreeWithAdd,SkipD,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,36,37,56819,0,((((((((7)-(2))+(7))*(((0)+(x))+((x)*(6))))*((9)+(9)))+((2)*((((0)+(2))*(3))+(7))))*(x))-(x)),(((((x)-((1)/(0)))+((0)+(0)))/((1)+(8)))-(x)),5*x*x*x+2*x+7,4
39,-0.9324750898399216,0.37266063520241144,-0.9154157138190133,0.5808513920650478,0,0,0.5927656459914126,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,36,37,8831.5,0,((((((5)*((7)+(9)))*((x)+((9)+(8))))+(((4)+(x))-(((x)*(6))+(4))))*(x))-(x)),((((((1)+(9))-(x))*((9)/(0)))/((4)+(1)))-(x)),5*x*x*x+2*x+7,4
40,-0.563921512577589,0.28067018735534427,-0.14555537406076446,0.3972692456056653,0,0,0.8523900073238351,0,AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,39,37,54619.2,0,(((((((x)-(4))*((x)*(7)))*((x)*(x)))+((2)*((x)+((7)+((0)+(6))))))*(6))-(x)),((((((1)/(0))*((5)-(5)))*((1)+(3)))/((5)+(3)))-(x)),5*x*x*x+2*x+7,4
41,0.4990083067611883,0.08719010108721068,0.776932746616057,0.5817634033903227,0,0,0.591475867206171,0,AddTreeWithAdd,SkipD,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,40,40,383582.8,0,(((((((7)*((5)+((8)+(x))))*(x))*((x)*((0)+((x)*(1)))))+((2)*(((0)+(2))-(1))))*(x))-(x)),(((((0)+(2))*((x)-((8)/(0))))/((9)+(8)))-(x)),5*x*x*x+2*x+7,4
42,-0.7230606827834042,0.21838326496872035,-0.4710290754655342,0.2858404906140305,0,0,0.175679235772706,0,AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,40,37,35316.2,1083.4755952380954,(((((((6)+(8))*(x))*((x)*(x)))+(((3)+(9))*((((0)+(1))+(8))+((((x)+(4))+(2))-(1)))))*(x))-(x)),(((((((x)*((9)-((7)/(4))))*((x)-(0)))+(((6)+((1)*((7)+(6))))+(((9)+(3))+((x)-(8)))))*((7)+(8)))/(x))-(x)),5*x*x*x+2*x+7,4
43,-0.8407468964390722,0.36469871036427437,-0.70656239790918,0.5866498265428353,0,0,0.5845654213123936,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,41,37,28015.5,0,(((((((x)+(6))*((1)+(4)))*((x)*((1)+(x))))+(((x)*(x))*(((6)+(4))+(7))))*(x))-(x)),(((((7)+(0))+((3)-((9)/(7))))/((0)+(0)))-(x)),5*x*x*x+2*x+7,4
44,-0.946061336164652,0.561430855238026,-0.9360788957856909,1,0,0,0,0,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,43,43,7055,0,((((((5)*((8)+(1)))*(((1)+(1))*(((2)+(4))+(7))))+((7)*((x)*(8))))*(x))-(x)),((((((x)*((8)+(7)))+(((5)-(x))*(0)))*(((4)+(6))/(0)))/(x))-(x)),5*x*x*x+2*x+7,4
45,-0.5405986345976486,0.044686192540122786,-0.2043049137558982,0.1649302303773882,0,0,0.00033597499827926167,0,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,44,37,142113,1533.2528174603174,(((((((((9)+(0))+(6))+(((0)+(0))-(x)))*((x)*(9)))*((x)*(x)))+(((4)+(8))*((1)+(5))))*(x))-(x)),(((((0)+((9)+(3)))+(((x)/(9))-(3)))/(x))-(x)),5*x*x*x+2*x+7,4
46,-0.9712834857889578,0.1642001271934527,-0.9674648807579223,0.16559813758146724,0,0,0.0008339240127240282,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,45,44,2801,1531.3794664902998,((((((5)*((2)+(7)))*(((x)-(6))-(7)))+((2)*(((1)+(9))*((2)+(0)))))*(x))-(x)),((((((4)/(9))-(1))+((7)+((6)+(5))))/(x))-(x)),5*x*x*x+2*x+7,4
47,-0.5704094302787327,0.376098478004401,-0.16442470831963457,0.5869934782871732,0,0,0.5840794243548179,0,AddTreeWithAdd,ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,46,46,175960,0,(((((((8)+(0))*((8)*(4)))*((7)*((3)*(6))))+((2)*(((x)+(0))+((1)+(0)))))*(x))-(x)),((((((6)/(0))*((8)-(0)))*((5)-(((x)+(3))+(x))))/(x))-(x)),5*x*x*x+2*x+7,4
48,-0.5627968960636045,-0.10972081139270048,-0.25107811097725785,0.1981650876619841,0,0,0.048780588683619515,0,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddTreeWithAdd|AddTreeWithAdd|MultXD|SkipD|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|SkipD|ReplaceBranchXR,MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|SkipD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithAdd|SubXD|AddTreeWithAdd,45,47,109261.5,1409.3,((((((5)*(x))*((x)*((x)*(x))))+((2)*((x)+((6)+(((8)+(7))+(7))))))*(x))-(x)),(((((((x)*(((7)-(5))+(4)))*((2)+(((4)/(8))+(1))))+(((1)+((2)+(2)))+((2)+((3)+(7)))))*((0)+(x)))/(x))-(x)),5*x*x*x+2*x+7,4
